#CODIGO_PROGRAMA,DESCRICAO_PROGRAMA,CODIGO_FINALIDADE,FINALIDADE,CODIGO_ATIVIDADE,ATIVIDADE,CODIGO_MODALIDADE,MODALIDADE
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","2","Custeio","1","Agrícola","05","AQUISIÇÃO DE INSUMOS PARA INDÚSTRIA FAMILIAR"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","3","Investimento","2","Pecuário(a)","70","AQUISIÇÃO DE ATIVOS OPERACIONAIS"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","3","Investimento","1","Agrícola","70","AQUISIÇÃO DE ATIVOS OPERACIONAIS"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","2","Custeio","2","Pecuário(a)","35","MANUTENÇÃO/CRIAÇÃO DE ANIMAIS (CRIA)"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","2","Custeio","2","Pecuário(a)","43","EXPLORAÇÃO SOB REGIME DE INTEGRAÇÃO"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","2","Custeio","1","Agrícola","43","EXPLORAÇÃO SOB REGIME DE INTEGRAÇÃO"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","3","Investimento","2","Pecuário(a)","42","TAXA DE RETENÇÃO"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","3","Investimento","1","Agrícola","42","TAXA DE RETENÇÃO"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","2","Custeio","2","Pecuário(a)","42","TAXA DE RETENÇÃO"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","2","Custeio","1","Agrícola","42","TAXA DE RETENÇÃO"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","3","Investimento","2","Pecuário(a)","41","INTEGRALIZAÇÃO DE COTAS PARTES"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","3","Investimento","1","Agrícola","41","INTEGRALIZAÇÃO DE COTAS PARTES"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","2","Custeio","2","Pecuário(a)","41","INTEGRALIZAÇÃO DE COTAS PARTES"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","2","Custeio","1","Agrícola","41","INTEGRALIZAÇÃO DE COTAS PARTES"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","4",,"2","Pecuário(a)","40","ATENDIMENTO A COOPERADOS (MCR 5-2)"
